217;11;02;2013/000122;DEPORTIVO BÁSICO BARRIO BUTARQUE. CONSTRUCCIÓN;500000.0
217;11;01;2013/000116;POLIDEPORTIVO FÉLIX RUBIO.CONSTRUCCIÓN PISTA MULTIUSOS;500000.0
998;01;00;2012/000141;EQUIPOS DE RADIO PARA LA POLICÍA MUNICIPAL. ADQUISICIÓN;125000.0
998;02;00;2008/000416;SEÑALIZACIÓN HORIZONTAL, VERTICAL Y BALIZAMIENTO;2926174.0
998;02;00;2010/000065;SEÑALIZACIÓN ESPECIAL: ZONAS ESCOLARES Y PASOS DE PEATONES;1583299.0
998;02;00;2011/000251;SEMÁFOROS Y SEÑALIZACIÓN DE INTERSECCIONES URBANAS;2838951.0
998;01;01;2012/000030;EQUIPOS DE AUTOPROTECCIÓN BOMBEROS. ADQUISICIÓN;1563624.0
998;01;01;2011/000095;OTRO EQUIPAMIENTO SERVICIO DE BOMBEROS;63640.0
998;08;02;2013/000088;RENOVACIÓN INTEGRAL DE INSTALACIONES Y PAVIMENTOS. PRIS ZONA 1;2283733.0
998;08;02;2013/000089;RENOVACIÓN INTEGRAL DE INSTALACIONES Y PAVIMENTOS. PRIS ZONA 2;2192706.0
998;08;02;2013/000090;RENOVACIÓN INTEGRAL DE INSTALACIONES Y PAVIMENTOS. PRIS ZONA 3;1996557.0
998;08;02;2013/000091;RENOVACIÓN INTEGRAL DE INSTALACIONES Y PAVIMENTOS. PRIS ZONA 4;1697169.0
998;08;02;2013/000092;RENOVACIÓN INTEGRAL DE INSTALACIONES Y PAVIMENTOS. PRIS ZONA 5;1752345.0
998;08;02;2013/000093;RENOVACIÓN INTEGRAL DE INSTALACIONES Y PAVIMENTOS. PRIS ZONA 6;2093761.0
217;08;02;2013/000118;SISTEMAS DE PAVIMENTACIÓN ANTICONTAMINANTE. DISTRITO VILLAVERDE;250000.0
998;07;06;2009/000365;VÍA CICLISTA C/ ATOCHA- C/ MAYOR - C/ ALCALÁ. CONSTRUCCIÓN;60000.0
217;07;06;2013/000117;CARRIL BICI EN C/ CIFUENTES;60000.0
998;07;06;2013/000124;ITINERARIO CICLISTA EN LA PRIMERA RONDA DE MADRID (M-10). CONSTRUCCIÓN;600000.0
998;07;01;2011/000318;MADRID CALLE 30 S.A. INVERSIONES DE REPOSICIÓN;101267.0
998;09;03;2006/001044;SANEAMIENTO DE LAS MÁRGENES DEL RÍO MANZANARES. SISTEMA DE TELECONTROL;72092.0
208;09;03;2009/000417;COLECTOR EN LA SUBCUENCA DE PINOS. CONSTRUCCIÓN;7193576.0
209;09;04;2009/000490;ESTACIÓN REGENERADORA AGUAS RESIDUALES VIVEROS DE LA VILLA. CONSTRUCCIÓN;975000.0
219;09;04;2011/000211;ERAR SUR ORIENTAL. OPTIMIZACIÓN DEL TRATAMIENTO DE AGUAS RESIDUALES;500000.0
217;09;04;2012/000109;PARQUE PLATA Y CASTAÑAR. DEPÓSITO AGUA REGENERADA;300000.0
998;08;00;2010/000101;ADAPTACIÓN INSTALACIONES DE ALUMBRADO PÚBLICO A NORMATIVA;4326052.0
217;08;00;2013/000119;SISTEMAS ILUMINACIÓN EFICIENCIA ENERGÉTICA TECNOLOGÍA LED. VILLAVERDE;350000.0
217;09;00;2009/000177;PARQUE DE LA PLATA Y CASTAÑAR (NOROESTE VILLAVERDE).  RECUPERACIÓN;371904.0
999;13;01;2009/000478;CENSO DE LOCALES DE LA CIUDAD DE MADRID. ELABORACIÓN;15000.0
999;00;01;2013/000114;EQUIPAMIENTO SERV. ADMVOS. ÁREA ECONOMÍA, HACIENDA Y ADMINISTRACIÓN PÚBLICA;60994.0
210;11;01;2006/000024;PABELLÓN CUBIERTO PARA PISTA DE ATLETISMO EN  LATINA. CONSTRUCCIÓN;100000.0
998;00;03;2013/000115;ADECUACIÓN REDES DE SERVICIO EDIFICIOS MUNICIPALES;100000.0
998;00;03;2010/000170;OBRAS DE CONSERVACIÓN Y MANTENIMIENTO EN EDIFICIOS MUNICIPALES;3639681.0
998;00;03;2010/000171;OBRAS SUBSANACIÓN DE PATOLOGÍAS EN EDIFICIOS MUNICIPALES;650000.0
202;00;01;2013/000121;EDIFICIO Pº DE LA CHOPERA, 41. OBRAS DE ADAPTACIÓN;2387382.0
999;00;01;2006/000513;SOPORTES Y DESARROLLOS CARTOGRÁFICOS URBANISMO;52728.0
206;06;00;2003/001178;ADQUISICIÓN SUELO HUERTA DEL OBISPO. ZONA VERDE;7819145.0
221;06;00;2003/001330;NUEVA CONEXIÓN CN-II Y DISTRIBUIDOR ESTE. ADQUISICIÓN DE SUELO;28483.0
210;06;00;2004/001069;ADQUISICIÓN DE SUELO PARA AMPLIACIÓN AVENIDA DE LA AVIACIÓN;85794.0
216;06;00;2004/001180;ADQUISICIÓN SUELO VÍA BORDE DE HORTALEZA;129794.0
218;06;00;2005/001472;ADQUISICIÓN DE SUELO EN NUEVOS ACCESOS AL VERTEDERO DE VILLA DE VALLECAS;39070.0
208;06;00;2005/060090;ADQUISICIÓN SUELO CONEXIÓN C/VENTISQUERO DE LA CONDESA-COSTA BRAVA;53914.0
215;06;00;2006/000777;ADQUISICIÓN SUELO EN C/TIMOTEO DOMINGO, 29-31. VIARIO;10359.0
210;06;00;2006/000976;ADQUISICIÓN DE SUELO EN EL PARQUE EMPERATRIZ MARÍA DE AUSTRIA;6228.0
214;06;00;2008/000486;ADQUISICIÓN DE SUELO VALLEUNCOSO Y LAS PILILLAS;185273.0
213;06;00;2008/000487;ADQUISICIÓN DE SUELO AVDA. PABLO NERUDA;797335.0
998;06;00;2011/000277;DERRIBOS EN ÁMBITOS DE EXPROPIACIÓN;1122000.0
202;06;00;2013/000123;ADQUISICIÓN DE SUELO PASEO DE LAS DELICIAS, 46;12402376.0
998;06;01;2011/000280;URBANIZACIÓN DE SUELO EN EL TÉRMINO MUNICIPAL DE MADRID;122400.0
211;06;05;2008/000654;ADQUISICIÓN SUELO FINCA Nº 1 AVDA. DE LOS POBLADOS, 124;41251.0
998;06;05;2011/000278;DERRIBOS EN SUELO PATRIMONIAL;2019600.0
201;06;07;2003/001080; EDIFICIO CASA DUQUESA DE SUECA. ADQUISICIÓN;146524.0
998;00;03;2011/000281;ADOPCIÓN MEDIDAS DE SEGURIDAD Y CONSOLIDACIONES EN EDIFICIOS MUNICIPALES;2886424.0
213;06;01;2011/000349;COLONIAS SAN FCO.JAVIER-NUESTRA SRA.DE LOS ÁNGELES.CIERRE REDES DE SERVICIOS;427605.0
201;11;04;2009/000227;CENTRO POLIVALENTE EN LA C/BARCELÓ. CONSTRUCCIÓN;10610420.0
998;10;00;2013/000103;EQUIPAMIENTO BIBLIOTECAS PÚBLICAS DE LA CIUDAD DE MADRID;350000.0
998;10;00;2013/000104;EDIFICIOS ÁREA DE GOBIERNO DE LAS ARTES. SEÑALIZACIÓN;80000.0
998;10;00;2013/000103;EQUIPAMIENTO BIBLIOTECAS PÚBLICAS DE LA CIUDAD DE MADRID;310000.0
998;10;02;2013/000106;EQUIPAMIENTO MUSEOS DE LA CIUDAD DE MADRID;50000.0
202;06;01;2012/000162;ENTORNO DEL MATADERO. OBRAS DE URBANIZACIÓN;2700000.0
211;10;00;2013/000100;BIBLIOTECA C/ PELLEJEROS C/V. ANTONIO VICO. URBANIZACIÓN ESPACIO LIBRE;188982.0
212;10;00;2006/000765;BIBLIOTECA MUNICIPAL ORCASUR .AMPLIACIÓN;1960839.0
203;10;03;2005/000809;"EDIFICIO ""D "" CONJUNTO DAOIZ Y VELARDE REHABILITACIÓN PARA CENTRO CULTURAL";2123912.0
201;10;03;2013/000101;CENTRO CULTURAL CONDE DUQUE. ACONDICIONAMIENTO ACCESIBILIDAD Y SEGURIDAD;1700000.0
201;10;00;2013/000102;CENTRO CULTURAL CONDE DUQUE. ADAPTACIÓN 2º PLANTA BIBLIOTECA VICTOR ESPINÓS;1300000.0
998;08;05;2013/000099;PROTOTIPOS DE MOBILIARIO URBANO;60000.0
998;08;05;2013/000098;PROTOTIPOS DE SEÑALIZACIÓN VIAL;20000.0
998;08;05;2013/000097;RECUPERACIÓN PAISAJÍSTICA SOLARES DEGRADADOS;30000.0
202;10;04;2004/000069;MATADERO MUNICIPAL DE ARGANZUELA. REHABILITACIÓN;52140.0
998;10;02;2013/000105;OBRAS DE ARTE PARA LOS MUSEOS DE LA CIUDAD;30000.0
998;03;06;2013/000108;EQUIPAMIENTO CENTRO DE ATENCIÓN A PERSONAS SIN HOGAR;4000.0
998;03;06;2013/000108;EQUIPAMIENTO CENTRO DE ATENCIÓN A PERSONAS SIN HOGAR;132088.0
