93301,AM-ITE-211 SUBS DEF REBT CANT LIMP C/MARIA ODIAGA,FCC CONSTRUCCION S A,1
93301,AM-ITE-123_SUBS. ITE CASETA GUARDAS F.TORRE ARIAS,FCC CONSTRUCCION S A,2
93301,AM-ITE-106_SEG. ESTRUCTURAL FINCA TORRE ARIAS,FCC CONSTRUCCION S A,3
93301,AM2-PA055 Consol.Estruct.Beti Jai Marq.Riscal 7,FERROVIAL AGROMAN S A,4
93301,AM-ITE-214 Actua.Previas sub. ITE fachadas Cibeles,UTE ITES LOTE 2 OBRASCON HUARTE LAIN SA Y PROMOCIONES EDIFICIOS Y,5
93301,AM-ITE-112 REHABILITACIÓN CASA DUQUESA DE SUECA,"DURANTIA INFRAESTRUCTURAS, S.AU. Y SERRAZAR, S.L., UTE.",6
93301,"AM-ITE-109 Subs.def. en Polideportivo Moscardó,",UTE ITES LOTE 2 OBRASCON HUARTE LAIN SA Y PROMOCIONES EDIFICIOS Y,7
93301,AM-ITE-213 SUBS. DEF ITE CUBIERTA PISCINA MOSCARDÓ,UTE ITES LOTE 2 OBRASCON HUARTE LAIN SA Y PROMOCIONES EDIFICIOS Y,8
93301,AM-ITE-112 REHABILITACIÓN CASA DUQUESA DE SUECA,"DURANTIA INFRAESTRUCTURAS, S.AU. Y SERRAZAR, S.L., UTE.",9
93301,PA058 Pisc.Cub. CDM Palomeras,FERROVIAL AGROMAN S A,10
93301,AM-ITE-214 Actua.Previas sub. ITE fachadas Cibeles,UTE ITES LOTE 2 OBRASCON HUARTE LAIN SA Y PROMOCIONES EDIFICIOS Y,11
93301,PA046 Gradas futbol 11 CDM Valdebernardo,FERROVIAL AGROMAN S A,12
93301,AM2-PA045 Piscona CDM La Almudena.,FERROVIAL AGROMAN S A,13
93301,AM2-PA057 Gradas futbol ID Torre,FERROVIAL AGROMAN S A,14
93301,AM-ITE-122 DEFIC.ITE EDIF.CABALLERIZAS TORRE ARIAS,FCC CONSTRUCCION S A,15
93301,AM-ITE-122 DEFIC.ITE EDIF.CABALLERIZAS TORRE ARIAS,FCC CONSTRUCCION S A,16
93301,AM2-PA055 Consol.Estruct.Beti Jai Marq.Riscal 7,FERROVIAL AGROMAN S A,17
93301,AM-ITE-199 SUB DEF REV REBT POLIDEP TORRESPAÑA,FCC CONSTRUCCION S A,18
93301,PA026 Deconstruc.Duquesa de Sueca,FERROVIAL AGROMAN S A,19
93301,AM-ITE-211 SUBS DEF REBT CANT LIMP C/MARIA ODIAGA,FCC CONSTRUCCION S A,20
93301,AM-ITE-106_SEG. ESTRUCTURAL FINCA TORRE ARIAS,FCC CONSTRUCCION S A,21
93301,AM2-PA051 Campos de fútbol 7 CDM Las Cruces,FERROVIAL AGROMAN S A,22
93301,AM2-PA053 Vestuarios CDM Las Cruces,FERROVIAL AGROMAN S A,23
93301,AM2-PA054 Vestíbulos CDM Las Cruces,FERROVIAL AGROMAN S A,24
93301,AM-ITE-213 SUBS. DEF ITE CUBIERTA PISCINA MOSCARDÓ,UTE ITES LOTE 2 OBRASCON HUARTE LAIN SA Y PROMOCIONES EDIFICIOS Y,25
93301,"AM-ITE-109 Subs.def. en Polideportivo Moscardó,",UTE ITES LOTE 2 OBRASCON HUARTE LAIN SA Y PROMOCIONES EDIFICIOS Y,26
93301,AM-ITE-123_SUBS. ITE CASETA GUARDAS F.TORRE ARIAS,FCC CONSTRUCCION S A,27
93301,AM-ITE-199 SUB DEF REV REBT POLIDEP TORRESPAÑA,FCC CONSTRUCCION S A,28
93301,AM2- R130 Cent.mujeres Ed.2 Coleg.Rubén Darío,FCC CONSTRUCCION S A,29
93301,AM2- R130 Cent.mujeres Ed.2 Coleg.Rubén Darío,FCC CONSTRUCCION S A,30
93301,AM2-PA055 Consol.Estruct.Beti Jai Marq.Riscal 7,FERROVIAL AGROMAN S A,31
93303,INCORPORACIÓN REMANENTES COMPROMETIDOS,FCC CONSTRUCCION S A,32
93303,INCORPORACIÓN REMANENTES COMPROMETIDOS,FERROVIAL AGROMAN S A,33
93303,INCORPORACIÓN REMANENTES COMPROMETIDOS,FERROVIAL AGROMAN S A,34
93303,AM2-PA049 CERRAMIENTO PERIMET CD MOSCARDO,FERROVIAL AGROMAN S A,35
93301,AM-ITE-123_SUBS. ITE CASETA GUARDAS F.TORRE ARIAS,FCC CONSTRUCCION S A,36
93301,AM-ITE-106_SEG. ESTRUCTURAL FINCA TORRE ARIAS,FCC CONSTRUCCION S A,37
93301,AM-ITE-211 SUBS DEF REBT CANT LIMP C/MARIA ODIAGA,FCC CONSTRUCCION S A,38
93301,AM-ITE-112 REHABILITACIÓN CASA DUQUESA DE SUECA,"DURANTIA INFRAESTRUCTURAS, S.AU. Y SERRAZAR, S.L., UTE.",39
